85,K-45,S,1.0E+00,2.11E-10,1.41E-10,6.50E-11,4.12E-11,2.62E-11,2.20E-11,2.63E-11
86,Ca-41,F,6.0E-01,7.79E-10,4.43E-10,3.11E-10,3.84E-10,3.88E-10,1.97E-10,2.29E-10
87,Ca-41,M,2.0E-01,4.86E-10,3.07E-10,2.01E-10,1.94E-10,1.88E-10,1.11E-10,1.27E-10
88,Ca-41,S,2.0E-02,7.74E-10,7.03E-10,4.46E-10,2.82E-10,2.26E-10,2.12E-10,2.30E-10
89,Ca-45,F,6.0E-01,5.61E-09,2.94E-09,1.41E-09,1.05E-09,7.51E-10,4.65E-10,5.85E-10
90,Ca-45,M,2.0E-01,1.19E-08,8.72E-09,5.25E-09,3.83E-09,3.45E-09,2.71E-09,2.99E-09
91,Ca-45,S,2.0E-02,1.46E-08,1.16E-08,7.10E-09,5.06E-09,4.51E-09,3.64E-09,3.99E-09
92,Ca-47,F,6.0E-01,4.91E-09,3.61E-09,1.72E-09,1.06E-09,6.15E-10,5.60E-10,6.68E-10
93,Ca-47,M,2.0E-01,1.04E-08,7.72E-09,4.19E-09,2.94E-09,2.36E-09,1.90E-09,2.14E-09
94,Ca-47,S,2.0E-02,1.17E-08,8.51E-09,4.65E-09,3.27E-09,2.65E-09,2.12E-09,2.38E-09
95,Sc-43,F,1.0E-03,6.22E-10,4.44E-10,2.06E-10,1.27E-10,7.07E-11,5.81E-11,7.25E-11
96,Sc-43,M,1.0E-03,1.02E-09,7.19E-10,3.48E-10,2.24E-10,1.45E-10,1.18E-10,1.41E-10
97,Sc-43,S,1.0E-03,1.06E-09,7.49E-10,3.63E-10,2.35E-10,1.53E-10,1.25E-10,1.49E-10
98,Sc-44,F,1.0E-03,1.01E-09,7.46E-10,3.56E-10,2.17E-10,1.22E-10,9.92E-11,1.24E-10
99,Sc-44,M,1.0E-03,1.56E-09,1.13E-09,5.49E-10,3.49E-10,2.17E-10,1.77E-10,2.13E-10
100,Sc-44,S,1.0E-03,1.62E-09,1.17E-09,5.70E-10,3.63E-10,2.28E-10,1.85E-10,2.23E-10
101,Sc-44m,F,1.0E-03,7.68E-09,5.38E-09,2.52E-09,1.55E-09,8.71E-10,7.11E-10,8.88E-10
102,Sc-44m,M,1.0E-03,1.12E-08,8.10E-09,4.06E-09,2.65E-09,1.76E-09,1.43E-09,1.69E-09
103,Sc-44m,S,1.0E-03,1.05E-08,8.44E-09,4.25E-09,2.79E-09,1.68E-09,1.37E-09,1.65E-09
104,Sc-46,F,1.0E-03,4.22E-08,3.35E-08,1.78E-08,1.17E-08,7.77E-09,6.52E-09,7.60E-09
105,Sc-46,M,1.0E-03,2.61E-08,2.12E-08,1.27E-08,8.82E-09,7.31E-09,5.96E-09,6.62E-09
106,Sc-46,S,1.0E-03,2.75E-08,2.25E-08,1.39E-08,9.76E-09,8.36E-09,6.75E-09,7.46E-09
107,Sc-47,F,1.0E-03,2.02E-09,1.31E-09,5.82E-10,3.54E-10,1.96E-10,1.54E-10,1.97E-10
108,Sc-47,M,1.0E-03,3.67E-09,2.61E-09,1.42E-09,1.01E-09,8.29E-10,6.54E-10,7.36E-10
109,Sc-47,S,1.0E-03,3.93E-09,2.81E-09,1.54E-09,1.10E-09,9.18E-10,7.24E-10,8.12E-10
110,Sc-48,F,1.0E-03,5.23E-09,4.05E-09,2.03E-09,1.27E-09,7.38E-10,6.03E-10,7.38E-10
111,Sc-48,M,1.0E-03,7.45E-09,5.70E-09,2.98E-09,1.96E-09,1.32E-09,1.05E-09,1.24E-09
112,Sc-48,S,1.0E-03,7.71E-09,5.90E-09,3.09E-09,2.04E-09,1.39E-09,1.11E-09,1.30E-09
113,Sc-49,F,1.0E-03,2.13E-10,1.30E-10,5.47E-11,3.40E-11,1.97E-11,1.68E-11,2.08E-11
114,Sc-49,M,1.0E-03,3.71E-10,2.32E-10,1.04E-10,6.69E-11,4.41E-11,3.72E-11,4.41E-11
115,Sc-49,S,1.0E-03,3.88E-10,2.43E-10,1.09E-10,7.05E-11,4.68E-11,3.94E-11,4.67E-11
116,Ti-44,F,2.0E-02,3.07E-07,2.65E-07,1.52E-07,9.57E-08,6.64E-08,6.15E-08,6.90E-08
117,Ti-44,M,2.0E-02,1.71E-07,1.50E-07,9.24E-08,5.93E-08,4.64E-08,4.27E-08,4.67E-08
118,Ti-44,S,2.0E-02,3.24E-07,3.08E-07,2.14E-07,1.48E-07,1.29E-07,1.27E-07,1.33E-07
119,Ti-45,F,2.0E-02,4.42E-10,3.17E-10,1.48E-10,9.08E-11,5.12E-11,4.23E-11,5.25E-11
120,Ti-45,M,2.0E-02,7.42E-10,5.24E-10,2.54E-10,1.65E-10,1.08E-10,8.83E-11,1.05E-10
121,Ti-45,S,2.0E-02,7.76E-10,5.47E-10,2.66E-10,1.73E-10,1.15E-10,9.34E-11,1.11E-10
122,V-47,F,2.0E-02,1.85E-10,1.23E-10,5.60E-11,3.48E-11,2.09E-11,1.74E-11,2.13E-11
123,V-47,M,2.0E-02,2.82E-10,1.86E-10,8.58E-11,5.47E-11,3.52E-11,2.94E-11,3.51E-11
124,V-47,S,2.0E-02,2.93E-10,1.93E-10,8.90E-11,5.68E-11,3.68E-11,3.07E-11,3.66E-11
125,V-48,F,2.0E-02,7.64E-09,5.93E-09,3.02E-09,1.92E-09,1.16E-09,9.59E-10,1.15E-09
126,V-48,M,2.0E-02,1.42E-08,1.12E-08,6.29E-09,4.25E-09,2.91E-09,2.35E-09,2.73E-09
127,V-48,S,2.0E-02,1.55E-08,1.22E-08,6.96E-09,4.73E-09,3.33E-09,2.68E-09,3.09E-09
128,V-49,F,2.0E-02,2.02E-10,1.55E-10,7.63E-11,4.27E-11,2.48E-11,2.09E-11,2.58E-11
129,V-49,M,2.0E-02,2.75E-10,2.09E-10,1.08E-10,6.23E-11,3.92E-11,3.34E-11,4.00E-11
130,V-49,S,2.0E-02,4.56E-10,3.72E-10,2.04E-10,1.19E-10,7.82E-11,6.82E-11,7.97E-11
131,V-50,F,2.0E-02,1.22E-07,1.18E-07,8.89E-08,7.53E-08,6.67E-08,6.49E-08,6.69E-08
132,V-50,M,2.0E-02,5.12E-08,4.93E-08,3.84E-08,3.10E-08,2.95E-08,2.89E-08,2.96E-08
133,V-50,S,2.0E-02,5.90E-08,5.70E-08,4.23E-08,3.11E-08,2.82E-08,2.69E-08,2.81E-08
134,Cr-48,F,2.0E-01,7.28E-10,5.75E-10,2.99E-10,1.89E-10,1.15E-10,9.56E-11,1.15E-10
135,Cr-48,M,2.0E-01,1.10E-09,8.79E-10,4.90E-10,3.28E-10,2.40E-10,1.92E-10,2.21E-10
136,Cr-48,S,2.0E-01,1.18E-09,9.40E-10,5.28E-10,3.56E-10,2.64E-10,2.12E-10,2.43E-10
137,Cr-49,F,2.0E-01,1.92E-10,1.32E-10,6.06E-11,3.77E-11,2.25E-11,1.88E-11,2.29E-11
138,Cr-49,M,2.0E-01,3.03E-10,2.05E-10,9.62E-11,6.19E-11,4.05E-11,3.36E-11,3.99E-11
139,Cr-49,S,2.0E-01,3.15E-10,2.13E-10,1.00E-10,6.46E-11,4.25E-11,3.52E-11,4.18E-11
140,Cr-51,F,2.0E-01,1.72E-10,1.27E-10,6.29E-11,3.99E-11,2.39E-11,2.01E-11,2.42E-11
