,INDEX,Nuclide,Half-life,Type,f1,e (Sv/Bq),≥1 year,1 year,5 years,10 years,15 years,Adult, CHEMICAL_FORM
56,I-128,24.99 m,V,1.0,4.2e-10,1.0,2.8e-10,1.6e-10,1e-10,7.5e-11,6.5e-11,I2
57,I-129,1.57E7 y,V,1.0,1.3e-07,1.0,1.5e-07,1.2e-07,1.3e-07,9.9e-08,7.4e-08,CH3I
58,I-129,1.57E7 y,V,1.0,1.7e-07,1.0,2e-07,1.6e-07,1.7e-07,1.3e-07,9.6e-08,I2
59,I-130,12.36 h,V,1.0,1.5e-08,1.0,1.3e-08,7.2e-09,3.3e-09,2.2e-09,1.4e-09,CH3I
60,I-130,12.36 h,V,1.0,1.9e-08,1.0,1.7e-08,9.2e-09,4.3e-09,2.8e-09,1.9e-09,I2
61,I-131,8.04 d,V,1.0,1.3e-07,1.0,1.3e-07,7.4e-08,3.7e-08,2.4e-08,1.5e-08,CH3I
62,I-131,8.04 d,V,1.0,1.7e-07,1.0,1.6e-07,9.4e-08,4.8e-08,3.1e-08,2e-08,I2
63,Hg-193,3.5 h,V,1.0,4.2e-09,1.0,3.4e-09,2.2e-09,1.6e-09,1.2e-09,1.1e-09
64,Hg-193m,11.1 h,V,1.0,1.2e-08,1.0,9.4e-09,6.1e-09,4.5e-09,3.4e-09,3.1e-09
65,Hg-194,260 y,V,1.0,9.4e-08,1.0,8.3e-08,6.2e-08,5e-08,4.3e-08,4e-08
66,Hg-195,9.9 h,V,1.0,5.3e-09,1.0,4.3e-09,2.8e-09,2.1e-09,1.6e-09,1.4e-09
67,Hg-195m,41.6 h,V,1.0,3e-08,1.0,2.5e-08,1.6e-08,1.2e-08,8.8e-09,8.2e-09
68,Hg-197,64.1 h,V,1.0,1.6e-08,1.0,1.3e-08,8.4e-09,6.3e-09,4.7e-09,4.4e-09
69,Hg-197m,23.8 h,V,1.0,2.1e-08,1.0,1.7e-08,1.1e-08,8.2e-09,6.2e-09,5.8e-09
70,Hg-199m,42.6 m,V,1.0,6.5e-10,1.0,5.3e-10,3.4e-10,2.5e-10,1.9e-10,1.8e-10
71,Hg-203,46.60 d,V,1.0,3e-08,1.0,2.3e-08,1.5e-08,1e-08,7.7e-09,7e-09
